ticker,sector,industry,name,market_cap,quote_type,updated_at
COF,Financial Services,Credit Services,Capital One Financial Corporati,154993410048.0,EQUITY,2026-01-02T11:36:15.314584
SQ,,,,,NONE,2026-01-02T11:36:13.255819
LI,Consumer Cyclical,Auto Manufacturers,Li Auto Inc.,17154903040.0,EQUITY,2026-01-02T11:36:51.307926
BEP,Utilities,Utilities - Renewable,Brookfield Renewable Partners L,18368428032.0,EQUITY,2026-01-02T11:36:20.439324
QCLN,ETF - Other,Exchange Traded Fund,First Trust NASDAQ Clean Edge G,,ETF,2026-01-02T11:36:38.953334
DIA,Broad Market ETF,Exchange Traded Fund,SPDR Dow Jones Industrial Avera,39042899968.0,ETF,2026-01-02T11:36:33.735242
OR,Basic Materials,Gold,OR Royalties Inc.,6652820480.0,EQUITY,2026-01-02T11:36:11.042054
MDT,Healthcare,Medical Devices,Medtronic plc.,123208097792.0,EQUITY,2026-01-02T11:36:28.762337
V,Financial Services,Credit Services,Visa Inc.,676834246656.0,EQUITY,2026-01-02T11:36:39.656197
HL,Basic Materials,Other Precious Metals & Mining,Hecla Mining Company,12859194368.0,EQUITY,2026-01-02T11:36:26.201150
AVB,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",25815465984.0,EQUITY,2026-01-02T11:36:32.105644
AMC,Communication Services,Entertainment,"AMC Entertainment Holdings, Inc",800191936.0,EQUITY,2026-01-02T11:36:30.829619
PNC,Financial Services,Banks - Regional,"PNC Financial Services Group, I",82017738752.0,EQUITY,2026-01-02T11:36:37.713119
LRCX,Technology,Semiconductor Equipment & Materials,Lam Research Corporation,215863508992.0,EQUITY,2026-01-02T11:36:31.820705
USB,Financial Services,Banks - Regional,U.S. Bancorp,83038273536.0,EQUITY,2026-01-02T11:36:41.467330
WBD,Communication Services,Entertainment,"Warner Bros. Discovery, Inc. - ",71427448832.0,EQUITY,2026-01-02T11:36:24.514799
UNP,Industrials,Railroads,Union Pacific Corporation,137209978880.0,EQUITY,2026-01-02T11:36:10.870929
DE,Industrials,Farm & Heavy Construction Machinery,Deere & Company,125911285760.0,EQUITY,2026-01-02T11:36:38.433973
ABNB,Consumer Cyclical,Travel Services,"Airbnb, Inc.",83092619264.0,EQUITY,2026-01-02T11:36:13.171765
PATH,Technology,Software - Infrastructure,"UiPath, Inc.",8764547072.0,EQUITY,2026-01-02T11:36:30.393018
URNM,Energy,Exchange Traded Fund,Sprott Uranium Miners ETF,,ETF,2026-01-02T11:36:16.775196
SWK,Industrials,Tools & Accessories,"Stanley Black & Decker, Inc.",11504855040.0,EQUITY,2026-01-02T11:36:47.211375
BAC,Financial Services,Banks - Diversified,Bank of America Corporation,407382097920.0,EQUITY,2026-01-02T11:36:48.755093
DHR,Healthcare,Diagnostics & Research,Danaher Corporation,163918528512.0,EQUITY,2026-01-02T11:36:45.509924
DUK,Utilities,Utilities - Regulated Electric,Duke Energy Corporation (Holdin,91149672448.0,EQUITY,2026-01-02T11:36:21.568533
NLR,Energy,Exchange Traded Fund,VanEck Uranium and Nuclear ETF,,ETF,2026-01-02T11:36:44.907047
AXP,Financial Services,Credit Services,American Express Company,257441644544.0,EQUITY,2026-01-02T11:36:44.622491
SIRI,Communication Services,Entertainment,SiriusXM Holdings Inc.,6733125632.0,EQUITY,2026-01-02T11:36:41.896713
DM,,,,,NONE,2026-01-02T11:36:09.928020
EQIX,Real Estate,REIT - Specialty,"Equinix, Inc.",75226243072.0,EQUITY,2026-01-02T11:36:37.792117
SPG,Real Estate,REIT - Retail,"Simon Property Group, Inc.",69824790528.0,EQUITY,2026-01-02T11:36:28.510839
MMM,Industrials,Conglomerates,3M Company,85274017792.0,EQUITY,2026-01-02T11:36:27.069269
SLB,Energy,Oil & Gas Equipment & Services,SLB Limited,57336786944.0,EQUITY,2026-01-02T11:36:43.704110
NET,Technology,Software - Infrastructure,"Cloudflare, Inc.",69057929216.0,EQUITY,2026-01-02T11:36:51.806131
HON,Industrials,Conglomerates,Honeywell International Inc.,131465240576.0,EQUITY,2026-01-02T11:36:10.373455
DOW,Basic Materials,Chemicals,Dow Inc.,16617740288.0,EQUITY,2026-01-02T11:36:23.977884
QQQ,Technology,Exchange Traded Fund,"Invesco QQQ Trust, Series 1",241485266944.0,ETF,2026-01-02T11:36:52.431661
CLOV,Healthcare,Healthcare Plans,"Clover Health Investments, Corp",1214193408.0,EQUITY,2026-01-02T11:36:37.174322
XLK,Technology,Exchange Traded Fund,State Street Technology Select ,39167901696.0,ETF,2026-01-02T11:36:15.829052
RIVN,Consumer Cyclical,Auto Manufacturers,"Rivian Automotive, Inc.",24162746368.0,EQUITY,2026-01-02T11:36:29.460872
ED,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc.",35848126464.0,EQUITY,2026-01-02T11:36:16.944576
WMT,Consumer Defensive,Discount Stores,Walmart Inc.,888255348736.0,EQUITY,2026-01-02T11:36:49.442599
ORCL,Technology,Software - Infrastructure,Oracle Corporation,560001777664.0,EQUITY,2026-01-02T11:36:09.463238
PG,Consumer Defensive,Household & Personal Products,Procter & Gamble Company (The),335414951936.0,EQUITY,2026-01-02T11:36:26.088401
EBAY,Consumer Cyclical,Internet Retail,eBay Inc.,39804698624.0,EQUITY,2026-01-02T11:36:21.057163
UPST,Financial Services,Credit Services,"Upstart Holdings, Inc.",4254337792.0,EQUITY,2026-01-02T11:36:49.324878
AEP,Utilities,Utilities - Regulated Electric,American Electric Power Company,61721473024.0,EQUITY,2026-01-02T11:36:31.452907
A,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc.",38575902720.0,EQUITY,2026-01-02T11:36:32.183997
MET,Financial Services,Insurance - Life,"MetLife, Inc.",52497158144.0,EQUITY,2026-01-02T11:36:17.202039
GD,Industrials,Aerospace & Defense,General Dynamics Corporation,90938753024.0,EQUITY,2026-01-02T11:36:28.904925
ABT,Healthcare,Medical Devices,Abbott Laboratories,218062110720.0,EQUITY,2026-01-02T11:36:47.326476
CVX,Energy,Oil & Gas Integrated,Chevron Corporation,307079086080.0,EQUITY,2026-01-02T11:36:33.484259
AAPL,Technology,Consumer Electronics,Apple Inc.,4034508095488.0,EQUITY,2026-01-02T11:36:33.627448
CRM,Technology,Software - Application,"Salesforce, Inc.",252194324480.0,EQUITY,2026-01-02T11:36:15.235203
TXN,Technology,Semiconductors,Texas Instruments Incorporated,157726212096.0,EQUITY,2026-01-02T11:36:24.275022
JOBY,Industrials,Airports & Air Services,"Joby Aviation, Inc.",12035537920.0,EQUITY,2026-01-02T11:36:24.826479
SPCE,Industrials,Aerospace & Defense,"Virgin Galactic Holdings, Inc.",202872784.0,EQUITY,2026-01-02T11:36:23.732160
LEU,Energy,Uranium,Centrus Energy Corp.,4421152768.0,EQUITY,2026-01-02T11:36:10.967072
NOC,Industrials,Aerospace & Defense,Northrop Grumman Corporation,81644371968.0,EQUITY,2026-01-02T11:36:40.863665
PSLV,,,"""Sprott Physical Silver Trust""",13738147840.0,EQUITY,2026-01-02T11:36:11.372570
GDXJ,Precious Metals,Exchange Traded Fund,VanEck Junior Gold Miners ETF,,ETF,2026-01-02T11:36:48.238970
LAZR,Consumer Cyclical,Auto Parts,"Luminar Technologies, Inc.",14668649.0,EQUITY,2026-01-02T11:36:40.787177
APD,Basic Materials,Specialty Chemicals,"Air Products and Chemicals, Inc",54984617984.0,EQUITY,2026-01-02T11:36:21.675363
CCJ,Energy,Uranium,Cameco Corporation,39949291520.0,EQUITY,2026-01-02T11:36:36.588662
EGO,Basic Materials,Gold,Eldorado Gold Corporation,7252613120.0,EQUITY,2026-01-02T11:36:45.760975
MMC,Financial Services,Insurance Brokers,"Marsh & McLennan Companies, Inc",91206090752.0,EQUITY,2026-01-02T11:36:46.625146
ABBV,Healthcare,Drug Manufacturers - General,AbbVie Inc.,403829719040.0,EQUITY,2026-01-02T11:36:52.519227
BLK,Financial Services,Asset Management,"BlackRock, Inc.",166064226304.0,EQUITY,2026-01-02T11:36:30.046714
JPM,Financial Services,Banks - Diversified,JP Morgan Chase & Co.,886025682944.0,EQUITY,2026-01-02T11:36:52.906197
ITW,Industrials,Specialty Industrial Machinery,Illinois Tool Works Inc.,71796449280.0,EQUITY,2026-01-02T11:36:46.735044
CMCSA,Communication Services,Telecom Services,Comcast Corporation,110360051712.0,EQUITY,2026-01-02T11:36:50.390250
DHI,Consumer Cyclical,Residential Construction,"D.R. Horton, Inc.",42065481728.0,EQUITY,2026-01-02T11:36:39.219467
ICLN,ETF - Other,Exchange Traded Fund,iShares Global Clean Energy ETF,,ETF,2026-01-02T11:36:12.569978
BTG,Basic Materials,Gold,B2Gold Corp,6025981440.0,EQUITY,2026-01-02T11:36:35.127355
T,Communication Services,Telecom Services,AT&T Inc.,177615585280.0,EQUITY,2026-01-02T11:36:41.092206
GOLD,Financial Services,Capital Markets,"Gold.com, Inc.",839141376.0,EQUITY,2026-01-02T11:36:48.105078
GLDM,Precious Metals,Exchange Traded Fund,SPDR Gold MiniShares Trust,,ETF,2026-01-02T11:36:39.496617
PLD,Real Estate,REIT - Industrial,"Prologis, Inc.",118579167232.0,EQUITY,2026-01-02T11:36:36.233070
SNPS,Technology,Software - Infrastructure,"Synopsys, Inc.",89865986048.0,EQUITY,2026-01-02T11:36:16.101595
SBUX,Consumer Cyclical,Restaurants,Starbucks Corporation,95755190272.0,EQUITY,2026-01-02T11:36:27.777021
SRE,Utilities,Utilities - Diversified,DBA Sempra,57625251840.0,EQUITY,2026-01-02T11:36:12.460667
CDW,Technology,Information Technology Services,CDW Corporation,17850472448.0,EQUITY,2026-01-02T11:36:16.560264
ICE,Financial Services,Financial Data & Stock Exchanges,Intercontinental Exchange Inc.,92709650432.0,EQUITY,2026-01-02T11:36:43.627461
ADI,Technology,Semiconductors,"Analog Devices, Inc.",132794204160.0,EQUITY,2026-01-02T11:36:19.471398
ROST,Consumer Cyclical,Apparel Retail,"Ross Stores, Inc.",58586259456.0,EQUITY,2026-01-02T11:36:18.001135
MAG,,,,,,2026-01-02T11:36:43.550090
SMH,ETF - Other,Exchange Traded Fund,VanEck Semiconductor ETF,4203041280.0,ETF,2026-01-02T11:36:14.697853
CMG,Consumer Cyclical,Restaurants,"Chipotle Mexican Grill, Inc.",49612742656.0,EQUITY,2026-01-02T11:36:24.447625
VRTX,Healthcare,Biotechnology,Vertex Pharmaceuticals Incorpor,116237262848.0,EQUITY,2026-01-02T11:36:12.743196
PSX,Energy,Oil & Gas Refining & Marketing,Phillips 66,52148191232.0,EQUITY,2026-01-02T11:36:35.846574
AU,Basic Materials,Gold,AngloGold Ashanti PLC,43056873472.0,EQUITY,2026-01-02T11:36:52.589631
DD,Basic Materials,Specialty Chemicals,"DuPont de Nemours, Inc.",16842808320.0,EQUITY,2026-01-02T11:36:21.836000
SOFI,Financial Services,Credit Services,"SoFi Technologies, Inc.",32998543360.0,EQUITY,2026-01-02T11:36:22.665663
QS,Consumer Cyclical,Auto Parts,QuantumScape Corporation,6921080832.0,EQUITY,2026-01-02T11:36:19.710150
CAT,Industrials,Farm & Heavy Construction Machinery,"Caterpillar, Inc.",268377505792.0,EQUITY,2026-01-02T11:36:15.654773
AEE,Utilities,Utilities - Regulated Electric,Ameren Corporation,27011622912.0,EQUITY,2026-01-02T11:36:26.897540
FAST,Industrials,Industrial Distribution,Fastenal Company,46070673408.0,EQUITY,2026-01-02T11:36:16.664005
CSCO,Technology,Communication Equipment,"Cisco Systems, Inc.",304352821248.0,EQUITY,2026-01-02T11:36:50.878858
INTC,Technology,Semiconductors,Intel Corporation,176013000704.0,EQUITY,2026-01-02T11:36:49.965379
EW,Healthcare,Medical Devices,Edwards Lifesciences Corporatio,50050277376.0,EQUITY,2026-01-02T11:36:21.294368
TTWO,Communication Services,Electronic Gaming & Multimedia,"Take-Two Interactive Software, ",47308922880.0,EQUITY,2026-01-02T11:36:17.109836
ASML,Technology,Semiconductor Equipment & Materials,ASML Holding N.V. - New York Re,415263686656.0,EQUITY,2026-01-02T11:36:36.816642
BLNK,Industrials,Engineering & Construction,Blink Charging Co.,94215576.0,EQUITY,2026-01-02T11:36:22.990489
EXC,Utilities,Utilities - Regulated Electric,Exelon Corporation,44025344000.0,EQUITY,2026-01-02T11:36:44.477507
AMZN,Consumer Cyclical,Internet Retail,"Amazon.com, Inc.",2467515596800.0,EQUITY,2026-01-02T11:36:14.089613
VMC,Basic Materials,Building Materials,Vulcan Materials Company (Holdi,37686378496.0,EQUITY,2026-01-02T11:36:37.104917
PLUG,Industrials,Electrical Equipment & Parts,"Plug Power, Inc.",2741521408.0,EQUITY,2026-01-02T11:36:28.989852
CPRT,Industrials,Specialty Business Services,"Copart, Inc.",37897891840.0,EQUITY,2026-01-02T11:36:13.995272
IQV,Healthcare,Diagnostics & Research,"IQVIA Holdings, Inc.",38387322880.0,EQUITY,2026-01-02T11:36:17.295839
TAP,Consumer Defensive,Beverages - Brewers,Molson Coors Beverage Company,9231241216.0,EQUITY,2026-01-02T11:36:15.392040
AVGO,Technology,Semiconductors,Broadcom Inc.,1640954855424.0,EQUITY,2026-01-02T11:36:38.235713
ROK,Industrials,Specialty Industrial Machinery,"Rockwell Automation, Inc.",43744378880.0,EQUITY,2026-01-02T11:36:41.969925
ISRG,Healthcare,Medical Instruments & Supplies,"Intuitive Surgical, Inc.",203026759680.0,EQUITY,2026-01-02T11:36:36.005712
STEM,Utilities,Utilities - Renewable,"Stem, Inc.",126272632.0,EQUITY,2026-01-02T11:36:50.727194
NIO,Consumer Cyclical,Auto Manufacturers,NIO Inc.,12896161792.0,EQUITY,2026-01-02T11:36:29.541243
GM,Consumer Cyclical,Auto Manufacturers,General Motors Company,77422968832.0,EQUITY,2026-01-02T11:36:14.348763
SO,Utilities,Utilities - Regulated Electric,Southern Company (The),96016343040.0,EQUITY,2026-01-02T11:36:32.003852
MNST,Consumer Defensive,Beverages - Non-Alcoholic,Monster Beverage Corporation,74908213248.0,EQUITY,2026-01-02T11:36:51.381961
AFRM,Technology,Software - Infrastructure,"Affirm Holdings, Inc.",24567379968.0,EQUITY,2026-01-02T11:36:51.511774
HSY,Consumer Defensive,Confectioners,The Hershey Company,36902834176.0,EQUITY,2026-01-02T11:36:20.519611
SYK,Healthcare,Medical Devices,Stryker Corporation,134410436608.0,EQUITY,2026-01-02T11:36:33.233372
COP,Energy,Oil & Gas E&P,ConocoPhillips,116913496064.0,EQUITY,2026-01-02T11:36:37.337280
BSX,Healthcare,Medical Devices,Boston Scientific Corporation,141350846464.0,EQUITY,2026-01-02T11:36:42.363952
MU,Technology,Semiconductors,"Micron Technology, Inc.",321231585280.0,EQUITY,2026-01-02T11:36:44.753604
SAND,,,,,NONE,2026-01-02T11:36:18.160943
DDOG,Technology,Software - Application,"Datadog, Inc.",47687716864.0,EQUITY,2026-01-02T11:36:39.136972
ACN,Technology,Information Technology Services,Accenture plc,166383255552.0,EQUITY,2026-01-02T11:36:38.602704
VST,Utilities,Utilities - Independent Power Producers,Vistra Corp.,54662717440.0,EQUITY,2026-01-02T11:36:41.329468
DXCM,Healthcare,Medical Devices,"DexCom, Inc.",26027345920.0,EQUITY,2026-01-02T11:36:51.575816
KDP,Consumer Defensive,Beverages - Non-Alcoholic,Keurig Dr Pepper Inc.,38053916672.0,EQUITY,2026-01-02T11:36:15.744633
META,Communication Services,Internet Content & Information,"Meta Platforms, Inc.",1663775145984.0,EQUITY,2026-01-02T11:36:50.952168
C,Financial Services,Banks - Diversified,"Citigroup, Inc.",214814375936.0,EQUITY,2026-01-02T11:36:22.117698
CHPT,Consumer Cyclical,Specialty Retail,"ChargePoint Holdings, Inc.",157056496.0,EQUITY,2026-01-02T11:36:22.328160
RGLD,Basic Materials,Gold,"Royal Gold, Inc.",18760845312.0,EQUITY,2026-01-02T11:36:20.138543
FNV,Basic Materials,Gold,Franco-Nevada Corporation,40115507200.0,EQUITY,2026-01-02T11:36:10.109649
SIVR,Precious Metals,Exchange Traded Fund,abrdn Physical Silver Shares ET,,ETF,2026-01-02T11:36:24.676886
CCI,Real Estate,REIT - Specialty,Crown Castle Inc.,38701019136.0,EQUITY,2026-01-02T11:36:50.657730
HUBS,Technology,Software - Application,"HubSpot, Inc.",21145745408.0,EQUITY,2026-01-02T11:36:43.977271
GEHC,Healthcare,Health Information Services,GE HealthCare Technologies Inc.,37447217152.0,EQUITY,2026-01-02T11:36:47.123142
AIG,Financial Services,Insurance - Diversified,"American International Group, I",47395028992.0,EQUITY,2026-01-02T11:36:15.919791
BIDU,Communication Services,Internet Content & Information,"Baidu, Inc.",45548810240.0,EQUITY,2026-01-02T11:36:51.969160
WBA,,,,,,2026-01-02T11:36:34.743404
PSA,Real Estate,REIT - Industrial,Public Storage,45532651520.0,EQUITY,2026-01-02T11:36:51.447571
AGI,Basic Materials,Gold,Alamos Gold Inc.,16197204992.0,EQUITY,2026-01-02T11:36:25.857288
PLTR,Technology,Software - Infrastructure,Palantir Technologies Inc.,423655800832.0,EQUITY,2026-01-02T11:36:38.768542
JNJ,Healthcare,Drug Manufacturers - General,Johnson & Johnson,498603622400.0,EQUITY,2026-01-02T11:36:28.363528
IAU,Precious Metals,Exchange Traded Fund,iShares Gold Trust Shares,78747074560.0,ETF,2026-01-02T11:36:33.153630
ALL,Financial Services,Insurance - Property & Casualty,Allstate Corporation (The),54848630784.0,EQUITY,2026-01-02T11:36:45.132479
SMR,Industrials,Specialty Industrial Machinery,NuScale Power Corporation,4007892224.0,EQUITY,2026-01-02T11:36:29.833640
BIIB,Healthcare,Drug Manufacturers - General,Biogen Inc.,25818134528.0,EQUITY,2026-01-02T11:36:34.104648
CTAS,Industrials,Specialty Business Services,Cintas Corporation,75782430720.0,EQUITY,2026-01-02T11:36:10.794332
XLE,Energy,Exchange Traded Fund,State Street Energy Select Sect,8335016960.0,ETF,2026-01-02T11:36:14.610460
LLY,Healthcare,Drug Manufacturers - General,Eli Lilly and Company,963404234752.0,EQUITY,2026-01-02T11:36:49.682901
UEC,Energy,Uranium,Uranium Energy Corp.,5645848064.0,EQUITY,2026-01-02T11:36:40.696881
EVGO,Consumer Cyclical,Specialty Retail,EVgo Inc.,896229760.0,EQUITY,2026-01-02T11:36:49.123610
PRU,Financial Services,Insurance - Life,"Prudential Financial, Inc.",39727316992.0,EQUITY,2026-01-02T11:36:15.146056
TJX,Consumer Cyclical,Apparel Retail,"TJX Companies, Inc. (The)",170958520320.0,EQUITY,2026-01-02T11:36:46.094183
ETN,Industrials,Specialty Industrial Machinery,"Eaton Corporation, PLC",123995947008.0,EQUITY,2026-01-02T11:36:19.254175
FANG,Energy,Oil & Gas E&P,"Diamondback Energy, Inc.",43518447616.0,EQUITY,2026-01-02T11:36:29.764577
CDNS,Technology,Software - Application,"Cadence Design Systems, Inc.",85174919168.0,EQUITY,2026-01-02T11:36:32.337945
RKT,Financial Services,Mortgage Finance,"Rocket Companies, Inc.",54515630080.0,EQUITY,2026-01-02T11:36:51.723474
K,Consumer Defensive,Packaged Foods,Kellanova,29031499776.0,EQUITY,2026-01-02T11:36:47.905823
NUE,Basic Materials,Steel,Nucor Corporation,37329133568.0,EQUITY,2026-01-02T11:36:18.514184
HAL,Energy,Oil & Gas Equipment & Services,Halliburton Company,24094535680.0,EQUITY,2026-01-02T11:36:17.839037
CHTR,Communication Services,Telecom Services,"Charter Communications, Inc.",28513370112.0,EQUITY,2026-01-02T11:36:40.028190
IDXX,Healthcare,Diagnostics & Research,"IDEXX Laboratories, Inc.",54125580288.0,EQUITY,2026-01-02T11:36:17.500912
XLF,Financial Services,Exchange Traded Fund,State Street Financial Select S,48386281472.0,ETF,2026-01-02T11:36:41.244207
ALGN,Healthcare,Medical Instruments & Supplies,"Align Technology, Inc.",11318746112.0,EQUITY,2026-01-02T11:36:52.832958
VEEV,Healthcare,Health Information Services,Veeva Systems Inc.,36694962176.0,EQUITY,2026-01-02T11:36:50.513250
TMUS,Communication Services,Telecom Services,"T-Mobile US, Inc.",228505075712.0,EQUITY,2026-01-02T11:36:36.702742
NFLX,Communication Services,Entertainment,"Netflix, Inc.",397291454464.0,EQUITY,2026-01-02T11:36:23.113030
PGR,Financial Services,Insurance - Property & Casualty,Progressive Corporation (The),133489467392.0,EQUITY,2026-01-02T11:36:39.884112
LIN,Basic Materials,Specialty Chemicals,Linde plc,199938342912.0,EQUITY,2026-01-02T11:36:28.283838
WPM,Basic Materials,Gold,Wheaton Precious Metals Corp,53426860032.0,EQUITY,2026-01-02T11:36:23.629863
NVDA,Technology,Semiconductors,NVIDIA Corporation,4540715761664.0,EQUITY,2026-01-02T11:36:46.007836
PEP,Consumer Defensive,Beverages - Non-Alcoholic,"Pepsico, Inc.",196489969664.0,EQUITY,2026-01-02T11:36:21.921002
HMY,Basic Materials,Gold,Harmony Gold Mining Company Lim,12429209600.0,EQUITY,2026-01-02T11:36:42.968464
TEAM,Technology,Software - Application,Atlassian Corporation,42680328192.0,EQUITY,2026-01-02T11:36:37.417768
